,en,es,fr,zh,de,ja,it,nl,ru,pt,ko,el,ar,he,th,ln,ta,hi,tl,sv,no,tr,fi,fa,da,in,cs,hu,be,uk,am,sw,bg,hr,eo,pl,ro,lesson,lexid
64,one way ticket,un boleto de ida,un billet aller simple,單程票,eine einfache Fahrkarte,片道切符 (Katamichikippu),un biglietto di sola andata,een enkele reis,билет в один конец (bilet v odin konets),um bilhete de ida,편도 티켓,ένα εισιτήριο μονής κατευθύνσεως,تذكرة الذهاب,כרטיס כיוון אחד,ตั่วเที่ยวเดียว,,வழி டிக்கெட்,एक तरफ़ा टिकट,pang isang byaheng tiket,enkelbiljett,enkeltbillett,tek gidiş bileti,,بلیط یک سره,en enkeltbillet,tiket sekali jalan,jednoduchá jízdenka,menetjegy,білет у адзін канец,квиток в один кінець (kvytok v odyn kіnets'),የአንድ አቅጣጫ ቲኬት (ya-ʾa-ne-de ʾa-qe-thaa-chaa ti-kee-te),tiketi ya njia moja,еднопосочен билет,jednosmjerna karta,unudirekta bileto,Bilet w jedną stronę,un bilet dus,1150,610
65,rapid,rápido,rapide,敏捷的,rasant / rasch / schnell,急速 (Kyuusoku),rapido,snel,быстрый (bystryj),rápido,빠른,γρήγορο,سريع,מהיר,เร็ว,rapidus,விரைவான,शीघ्र,mabilis,snabbt,raskt,süratli,nopea,تند,rask,laju,Rychlý / razantní,sebes,хуткі,швидкий (shvydkyj),ቀልጣፋ (qa-le-thaa-faa),haraka,бърз,hitar,rapida-490,Gwałtownie,rapid,1150,490
66,slowly,despacio,lentement,慢慢地,langsam,ゆっくり (Yukkuri),lentamente,langzaam,медленно (medlenno),devagar,천천히,αργά,ببطئ,לאט,อย่างช้าๆ,lente,மெதுவாக,धीरे,mabagal,sakta,sakte,yavaşça,hitaasti,به آرامی,langsom,pelan-pelan,pomalu,lassan,павольна,повільно (povіl'no),በዝግታ (ba-ze-ge-taa),pole pole,бавен,polako,malrapide,Wolno,încet,1150,510
67,speed,velocidad,la vitesse,快速,Geschwindigkeit,速度 (Sokudo),velocità,snelheid,скорость (skorost'),velocidade,속도,ταχύτητα,السرعة,מהירות,ความเร็ว,celeritas,வேகம்,गति,bilis,hastighet,fart,sürat,nopeus,سرعت,hastighed,kecepatan,rychlost,sebesség,хуткасць,швидкість (shvydkіst'),ፍጥነት (fe-the-na-te),kasi,скорост,brzina,rapideco,Prędkość,viteză,1150,390
68,to back up,dar marcha atrás,reculer,援助,rückwärts fahren,バックする (BakkuSuru),fare retromarcia,achteruit rijden,ехать задним ходом (ekhat' zadnim khodom),fazer marcha atrás,물러서다,κάνω όπισθεν,للدَعْم,להניע לאחור,สนับสนุน,,பின்னோக்கி போவது,पीछे करना,sundan,att backa,å rygge,geri viteste gitmek,peruuttaa,دنده عقب گرفتن,at bakke,mencadangkan,jet zpět,biztosítani,ехаць заднім ходам,їхати заднім ходом (yikhaty zadnіm khodom),ወደ ሗላ መሄድ (wa-da hhwa-laa ma-hee-de),aunia,давам на заден,voziti unatrag,movadi retroen,Cofać się,a acoperi,1150,460
69,to drive,conducir,conduire,駕,fahren,運転する (UntenSuru),guidare,rijden,вести (машину) (vesti (mashinu)),conduzir,운전하다,οδηγώ,للقيَاْدَة,לנהוג,ขับ,agere,ஓட்ட,चलाना,magmaneho,att köra,å kjøre,araba kullanmak,ajaa,رانندگی,at køre,mengemudi,jet,vezetni,весці (машыну),вести (машину) (vesty (mashynu)),መንዳት (ma-ne-daa-te),kuendesha,карам,voziti,konduki,Jechać,a conduce,1150,420
70,to land,aterrizar,atterrir,陸地,landen,着陸する (ChakurikuSuru),atterrare,landen,приземляться (prizemljat'sja),aterrar,착륙하다,προσγειώνομαι,للهُبُوط,לנחות,ลงจอด,adplico,தரையிறக்கும்,धरती पर उतरना,dumaong,att landa,å lande,yere inmek,laskeutua,به زمین نشستن هواپیما,at lande,mendaratkan,přistát,leszállni,прызямліцца,приземлятися (pryzemljatysja),ማረፍ (maa-ra-fe),Kutua,приземявам се,sletjeti,alteriĝi,Lądować,a ateriza,1150,540
71,to park,estacionar,stationner,公園,parken,駐車する (ChuushaSuru),parcheggiare,parkeren,парковаться (parkovat'sja),estacionar,주차하다,παρκάρω,للإيقاْف,לחנות,จอดรถ,,நிறுத்த,गाड़ी खड़ी करना,iparada,att parkera,å parkere,park etmek,pysäköidä,پارک کردن,at parkere,memarkirkan,parkovat,parkolni,паркавацца,паркуватись (parkuvatys'),ማቆም (maa-qo-me),kuekeza,паркирам,parkirati,parkumi,Parkować,a parca,1150,630
72,to tow,remolcar,remorquer,拖,schleppen,牽引する (Ken'inSuru),rimorchiare,slepen,буксировать (buksirovat'),rebocar,견인하다,ρυμουλκώ,للسَحْب,לגרור,ลาก,,இழுக்க,"खींचना, घसीटना",hilahin,att bogsera,å slepe,çekmek,hinata,یدک کشیدن,at have på slæb,menyeret,vléct,vontatni,буксіраваць,буксирувати (buksyruvaty),መጎተት (ma-go-ta-te),fungasha,влача,vući,treni,Holować,a remorca,1150,230
73,traffic light,semáforo,un feu,交通燈,eine Ampel,信号 (Shingou),semaforo,een stoplicht,светофор (svetofor),semáforo,신호등,φανάρι,إشارة المرور,רמזור,ไฟจราจร,semaphorum,போக்குவரத்து விளக்கு,यातायात बत्तियां,ilaw pantrapiko,trafikljus,trafikklys,trafik ışığı,liikennevalot,چراغ راهنما,lyskurv,lampu lalu lintas,semafor,jelzőlámpa,светлафор,світлофор (svіtlofor),የትራፊክ መብራት (ya-te-raa-fi-ke ma-be-raa-te),Taa za barabarani,светофар,semafor,signallampo,Światła,un semafor,1150,430
74,until the traffic light,hasta el semáforo,jusqu'au feu,直到,bis zur Ampel,信号まで (ShingouMade),fino al semaforo,tot het stoplicht,до светофора (do svetofora),até ao semáforo,신호등까지,μέχρι το φανάρι,حتى إشارةِ المرور,עד הרמזור,จนถึงไฟจราจร,,போக்குவரத்து ஒளி வரை,यातायात बत्तियों तक,hanggang sa ilaw trapiko,tills trafikljuset,til trafikklyset,trafik ışığına kadar,liikennevaloihin saakka,تا چراغ راهنما,indtil lyskurven,sampai lampu lalu lintas,k semaforu,a jelzőlámpáig,да светлафора,до світлофора (do svіtlofora),እስከ ትራፊክ መብራት (ʾe-se-ka te-raa-fi-ke ma-be-raa-te),Hadi kwenye taa za barabarani,до светофара,do semafora,ĝis signallampo,Aż do świateł,până la semafor,1150,440
0,a car,un auto,une voiture,車,ein Auto,車 (Kuruma),una macchina,een auto,машина (mashina),um carro,자동차,ένα αυτοκίνητο,السيارة,מכונית,รถ,autoraeda,கார்,कार,isang kotse,en bil,en bil,otomobil,auto,ماشین,en bil,sebuah mobil,auto,autó,машына,машина (mashyna),መኪና (ma-ki-naa),gari,кола,auto,veturilo,Samochód,o masină,1155,120
1,a convertible,un convertible,une décapotable,開篷車,ein Cabrio,オープンカー (O^punka^),una decappottabile,een cabriolet,кабриолет (kabriolet),um conversível,스포츠카,ένα καμπριολέ,قابل للتحويل,קבריולט,รถเปิดประทุน,,கன்வெர்டிபிள்,परिवर्तनीय गाड़ी,isang konbertibol,en cabriolet,en cabriolet,üstü açık otomobil,avoauto,ماشین بدون سقف,en cabriolet,sebuah mobil openkap,kabriolet,kabrió,кабрыялет,кабріолет (kabrіolet),ግልጽ መኪና (ge-le-tse ma-ki-naa),gari inayojifungua juu,кабриолет,kabriolet,kabrioleto,Kabriolet,o decapotabilă,1155,130
2,a driver,un chofer,un chauffeur,駕駛員,ein Fahrer,ドライバー (Doraiba^),un autista,een bestuurder,водитель (voditel'),um motorista,운전 기사,ένας οδηγός,السائق,נהג,คนขับรถ,rector,ஒட்டுநர்,चालक / ड्राईवर,isang tsuper,en förare,en sjåfør,şoför,ajaja,راننده,en fører,seorang pengemudi,řidič,járművezető,вадзіцель,водій (vodіj),ሹፌር (shu-fee-re),dereva,шофьор,vozač,kondukisto,Kierowca,un şofer,1155,200
3,a hood,un capot,une capote,車蓋,eine Motorhaube,フード (Fu^do),un cofano,een kap,капот (kapot),um capot,보네트,μια σκεπή,القلنسوة,ברדס,ฝากระโปรงรถ,,முன்பகுதி கூம்பு,गाड़ी की छत,takip ng makina ng awto,en huva,en kalesje,kaporta,konepelti,کاپوت,en kølerhjelm,sebuah kap mobil,kapota,motorháztető,капот,капот (kapot),የሞተር ክዳን (ya-mo-ta-re ke-daa-ne),kifuniko,гюрук,hauba,kapoto,Buda,o capotă,1155,140
4,a lock,una cerradura,une serrure,鎖,ein Schloss,錠 (Jou),una serratura,een slot,замок (zamok),uma fechadura,잠금장치,μια κλειδαριά,القفل,מנעול,ที่ล็อค,clusura,பூட்டு,ताला,isang kandado,ett lås,å låse,kilit,lukko,قفل,en lås,sebuah kunci,zámek,zár,замок,замок (zamok),መቆለፍ (ma-qo-la-fe),kufuli,ключалка,brava,seruro,Zamek,o încuietoare,1155,310
5,a rear seat,un asiento trasero,un siège arrière,後座,ein Rücksitz,リヤシート (Riyashi^to),un sedile posteriore,een achterbank,заднее сиденье (zadnee siden'e),um assento traseiro,뒷자석,ένα οπίσθιο κάθισμα,المقعد الخلفي,מושב אחורי,ที่นั่งหลัง,,பின் இருக்கை,गाड़ी की पिछ्ली सीट,isang upuan sa likuran,ett baksäte,et baksete,arka koltuk,takaistuin,صندلی عقب,et bagsæde,sebuah tempat duduk belakang,zadní sedadlo,hátsó ülés,задняе сядзенне,заднє сидіння (zadnye sydіnnja),የኽዋላ ወንበር (ya-kxe-waa-laa wa-ne-ba-re),kiti cha nyuma,задна седалка,stražnje sjedalo,malantaŭa sidloko,Siedzenie tylne,bancheta din spate,1155,260
6,a rearview mirror,un espejo retrovisor,un rétroviseur,倒後鏡,ein Rückspiegel,バックミラー (Bakkumira^),uno specchietto retrovisore,een achteruitkijkspiegel,зеркало заднего вида (zerkalo zadnego vida),um espelho retrovisor,빽미러,ένας οπισθοσκόπος καθρέφτης,مرآة الخلفية,מראה אחורית,กระจกหลัง,,பின்நோக்குக் கண்ணாடி,गाड़ी का आइना,isang salamin na ginagamit upang makita ang hulihan,en backspegel,et bakspeil,dikiz aynası,taustapeili,آینه عقب,et bakspejl,sebuah kaca spion,zpětné zrcátko,visszapillantó tükör,люстэрка задняга бачання,дзеркало заднього виду (dzerkalo zadn'oho vydu),የኽዋላ ማያ መስታወት (ya-kxe-waa-laa maa-yaa ma-se-taa-wa-te),kioo cha nyuma,оглeдало за обратно виждане,retrovizor,retrospegulo,Lusterko wsteczne,o oglindă retrovizoare,1155,230
7,a safety belt,un cinturón de seguridad,une ceinture de sécurité,安全帶,ein Sicherheitsgurt,シートベルト (Shi^toberuto),una cintura di sicurezza,een veiligheidsgordel,ремень безопасности (remen' bezopasnosti),um cinto de segurança,안전벨트,μια ζώνη ασφαλείας,حزام الأمان,חגורת בטיחות,เข็มขัดนิรภัย,,பாதுகாப்பு பெல்ட்,रक्षा पेटी,isang sinturong pangkaligtasan,ett säkerhetsbälte,et sikkerhetsbelte,emniyet kemeri,turvavyö,کمربند ایمنی,en sikkerhedssele,sebuah sabuk pengaman,bezpečnostní pás,biztonsági öv,рамень бяспекі,ремінь безпеки (remіn' bezpeky),የተሽከርካሪ ቀበቶ (ya-ta-she-ka-re-kaa-ri qa-ba-to),mshipi wa usalama,колан,sigurnosni pojas,sekureca zono,Pas bezpieczeństwa,o centură de siguranţă,1155,190
8,a steering wheel,un volante,un volant,駕駛盤,ein Lenkrad / ein Steuer,ハンドル (Handoru),un volante,een stuur,руль (rul'),um volante,운전대,ένα τιμόνι,دولاب القيادة,הגה,พวงมาลัย,gubernaculum,ஸ்டியரிங்,स्टीयरिंग व्हील,isang manibela,en ratt,et ratt,direksiyon,ratti,فرمان,et rat,sebuah roda kemudi,volant,kormány,руль,кермо (kermo),መሪ (ma-ri),duara,волан,volan,stirilo,Kierownica,un volan,1155,240
9,a tire,una llanta,un pneu,車輪,ein Reifen,タイヤ (Taiya),una gomma,een band,,um pneu,타이어,μια ρόδα,الإطار,צמיג,ยางรถ,canthus,டயர்,पहिया,isang gulong,ett däck,et dekk,dış lastik,rengas,تایر,et dæk,sebuah ban,pneumatika,autógumi,кола,колесо (koleso),ጎማ (go-maa),taili,външна гума,guma,pneŭmatiko,Opona,un cauciuc,1155,290
10,a tow truck,una grúa,une dépanneuse,拖拉車,ein Abschleppwagen,レッカー車 (Rekka^Kuruma),un carro attrezzi,een sleepwagen,эвакуатор (evakuator),uma grua,견인 트럭,ένα φορτηγό ρυμούλκησης,شاحنة سحبِ,משאית גרר,รถลาก,,வாகனம் கடத்துதல் டிரக்,घसीटने वाला ट्र्क,isang trak na panghatak,en bogseringsbil,en slepebil,çekici araç,hinausauto,کامیون یدک کش,en kranvogn,sebuah truk derek,odtahové vozidlo,vontató,эвакуатар,евакуатор (evakuator),መጎተቻ መኪና (ma-go-ta-caa ma-ki-naa),matwana,аварийна кола,pauk,tirveturilo,samochód pomocy drogowej,un camion de remorcare,1155,150
11,a trailer,un remolque,une remorque,一輛拖車,ein Anhänger,トレーラ (Tore^ra),un rimorchio,een aanhangwagen,трейлер (trejler),uma roulote,트레일러,ένα ρυμουλκό,المقطورة,קרוואן,รถเทรลเลอร์,,டிரெய்லர்,घसीटनेवाला,isang trailer,en vagn,campingvogn,tır,perävaunu,تریلر,en trailer,sebuah kereta gandeng,přívěs,utánfutó,трэйлер,трейлер (trejler),ተሳቢ መኪና (ta-saa-bi ma-ki-naa),lori,ремарке,prikolica,remorko,Przyczepa,o remorcă,1155,160
12,a trunk,un baúl,un coffre,汽車行李廂,ein Kofferraum,トランク (Toranku),un bagagliaio,een koffer,багажник (bagazhnik),um baú,트렁크,ένα πορτμπαγκάζ,الصَندوق,תא-המטען,กระโปรงหลัง,vidulus,வாகன உடற்பகுதி,डिक्की,likuran ng awto,en bagagelucka,et bagasjerom,bagaj,tavaratila,صندوق عقب,et bagagerum,sebuah bagasi mobil,kufr,csomagtartó,багажнік,багажник (bahazhnyk),እቃ መጫኛ (ʾe-qaa ma-chaa-nyaa),rukwama,багажник,prtljažnik,pakaĵujo,Bagażnik,un camion,1155,170
13,a wheel,una rueda,une roue,輪,ein Rad,ホイール (Hoi^ru),una ruota,een wiel,колесо (koleso),uma roda,바퀴,μια ρόδα,العجلة,גלגל,ล้อรถ,rota,சக்கரம்,पहिया,isang gulong,ett hjul,et hjul,teker,pyörä,چرخ,et hjul,sebuah roda,kolo,kerék,кола,колесо (koleso),ጎማ (go-maa),gurudumu,гума,kotač,rado,Koło,o roată,1155,180
